Coefficients,Binary
689.214931,0000001010110001
946.469137,0000001110110010
1055.212020,0000010000011111
952.068359,0000001110111000
666.677099,0000001010011010
323.289106,0000000101000011
-2.794859,1111111111111101
-320.849591,1111111010111111
-663.485863,1111110101101001
-983.636310,1111110000101000
-1122.310061,1111101110011110
-973.631948,1111110000110010
-531.303253,1111110111101101
-34.364780,1111111111011110
211.841981,0000000011010011
32.821666,0000000000100000
-480.479120,1111111000100000
-1016.585001,1111110000000111
-1252.705323,1111101100011011
-1016.539917,1111110000000111
-480.672008,1111111000011111
32.559412,0000000000100000
211.819148,0000000011010011
-34.082596,1111111111011110
-531.084293,1111110111101101
-973.934930,1111110000110010
-1122.859614,1111101110011101
-983.813503,1111110000101000
-662.387099,1111110101101010
-318.506032,1111111011000001
-1.101049,1111111111111111
320.952972,0000000101000000
657.405518,0000001010010001
935.860109,0000001110100111
1056.768885,0000010000100000
935.860109,0000001110100111
657.405518,0000001010010001
320.952972,0000000101000000
-1.101049,1111111111111111
-318.506032,1111111011000001
-662.387099,1111110101101010
-983.813503,1111110000101000
-1143.832153,1111101110001000
-979.498532,1111110000101101
-507.280880,1111111000000101
-1.719095,1111111111111110
214.636840,0000000011010110
-2.263534,1111111111111110
-507.692729,1111111000000100
-979.150466,1111110000101101
-1163.745292,1111101101110100
-989.109743,1111110000100011
-640.068228,1111110110000000
-289.010600,1111111011011111
-0.022833,0000000000000000
289.030530,0000000100100001
640.094299,0000001010000000
988.851845,0000001111011100
1163.365688,0000010010001011
978.973272,0000001111010010
508.791493,0000000111111100
4.607093,0000000000000100
-212.943030,1111111100101011
-0.617039,1111111111111111
498.009299,0000000111110010
963.290283,0000001111000011
1145.389019,0000010001111001
973.204476,0000001111001101
630.577686,0000001001110110
286.392281,0000000100011110
1.739475,0000000000000001
-286.424716,1111111011100010
-638.802646,1111110110000001
-989.074123,1111110000100011
-1163.915241,1111101101110100
-979.231170,1111110000101101
-508.765422,1111111000000011
-4.587163,1111111111111011
212.897364,0000000011010100
0.636969,0000000000000000
-497.983228,1111111000001110
-963.548181,1111110000111100
-1125.305931,1111101110011011
-967.953320,1111110000111000
-652.703669,1111110101110011
-315.625459,1111111011000100
-2.794859,1111111111111101
318.064974,0000000100111110
655.894905,0000001010001111
936.385369,0000001110101000
